id,name,marca,category,subcategory,coverage_max_dim,coverage_w,coverage_h,pad_top,pad_bottom,pad_left,pad_right,image_url
301,"Pelotas Wilson Padel x3",Wilson,padel,pelotas,0.6754,0.3492,0.6754,0.2708,0.0538,0.3846,0.2662,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778691399274.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4NjkxMzk5Mjc0LndlYnAiLCJpYXQiOjE3Nzg2OTEzOTksImV4cCI6MjA5NDA1MTM5OX0.Py7uMxll-ysg6J--aqrZCKGCJ39TCzbC5ixu1GZqa-0
297,"Blister  Overgrips Wilson Pro Comfort Blanco x12",Wilson,padel,accesorios,0.6760,0.5310,0.6760,0.1420,0.1820,0.2470,0.2220,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778687074708.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4Njg3MDc0NzA4LmpwZyIsImlhdCI6MTc3ODY4NzA3NSwiZXhwIjoyMDk0MDQ3MDc1fQ.2rCxdZtdNfmbTDlyCiCADubIN_-RyUAwI2lAVb4pMvw
289,"Wilson LS V3",Wilson,padel,palas,0.6763,0.3900,0.6763,0.1600,0.1638,0.3088,0.3013,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778678180905.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4Njc4MTgwOTA1LndlYnAiLCJpYXQiOjE3Nzg2NzgxODEsImV4cCI6MjA5NDAzODE4MX0.ZzJOPWZyowh5aatMzeKXC5cia-4GdBovCV41K0LMpRA
294,"Overgrip Pro Padel x3",Adidas,padel,accesorios,0.7068,0.6750,0.7068,0.0927,0.2005,0.1625,0.1625,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/294-1778685726228.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMjk0LTE3Nzg2ODU3MjYyMjgucG5nIiwiaWF0IjoxNzc4Njg1NzI2LCJleHAiOjIwOTQwNDU3MjZ9.0qAIMC37yWDAohy2S69h9zNdmd4N4f3rFS77LnMkirE
155,"Adidas muñequera",Adidas,padel,accesorios,0.7193,0.7193,0.3260,0.3750,0.2990,0.1413,0.1393,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1753051336103.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUzMDUxMzM2MTAzLmpwZyIsImlhdCI6MTc1MzA1MTMzNiwiZXhwIjoyMDY4NDExMzM2fQ.1QSruVzCFHzQk3Yd3QoqvLqT_AyGs-zqUSdq5uV4jJc
276,"Adidas Arrow Hit CTRL 2026",Adidas,padel,palas,0.7800,0.4275,0.7800,0.1062,0.1138,0.2963,0.2762,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/276-1777233920639.webp?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMjc2LTE3NzcyMzM5MjA2Mzkud2VicCIsImlhdCI6MTc3NzIzMzkyMCwiZXhwIjoyMDkyNTkzOTIwfQ.3yca-xBmP7-KFhealuhlWBorvGJ2Rb-J3taIYxinT5o
153,"Wilson Roland Garros X3 ",Wilson,padel,pelotas,0.7891,0.4688,0.7891,0.0986,0.1123,0.3223,0.2090,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1753051125678.png?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUzMDUxMTI1Njc4LnBuZyIsImlhdCI6MTc1MzA1MTEyNSwiZXhwIjoyMDY4NDExMTI1fQ.ll81XL47mGDZKmf2rIESM6xnfjXNzbYZsVNZ8NB3u-I
179,"Butterfly Limpiador Clean Care",Butterfly,tenis-mesa,accesorios,0.7950,0.7950,0.5275,0.3267,0.1458,0.1292,0.0758,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1753055209136.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUzMDU1MjA5MTM2LmpwZyIsImlhdCI6MTc1MzA1NTIwOSwiZXhwIjoyMDY4NDE1MjA5fQ.KnzegsDcWboKQ5Ww-xcHxF9_cuc_4R4RttPrbnaNcXg
170,"Butterfly Muñequera",Butterfly,tenis-mesa,ropa,0.8000,0.8000,0.3455,0.3255,0.3291,0.1000,0.1000,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1753053964083.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzUzMDUzOTY0MDgzLmpwZyIsImlhdCI6MTc1MzA1Mzk2NCwiZXhwIjoyMDY4NDEzOTY0fQ.3SYuI5A-mlacEzykkLmndTONA1O4P6wRc6pVTkF-KCU
291,"Wilson Endure V1 2026",,padel,palas,0.8033,0.3438,0.8033,0.0917,0.1050,0.3325,0.3237,https://itllufoljyibrrzlwapm.supabase.co/storage/v1/object/sign/images/products/0-1778678422031.jpg?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV9hMGI4MTEwOC05MjM2LTRmOGQtYWVmMC0xYmFjOWIwMGNmNjAiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJpbWFnZXMvcHJvZHVjdHMvMC0xNzc4Njc4NDIyMDMxLmpwZyIsImlhdCI6MTc3ODY3ODQyMiwiZXhwIjoyMDk0MDM4NDIyfQ.CMsn_oneCi6vIA2zJ9OJhUOA4ENdvI18B49N_O6VEzw
